	mean_dice	mean_hd95
0	0.7603958125245933	32.95114727639807
1	0.7732245261094663	28.867353377559052
2	0.7887590415195714	24.102818214087893
3	0.7879863670181597	27.21775304503603
4	0.7863470289609026	31.32764881421195
5	0.8094690129512196	24.374505543909102
6	0.8182071728557332	19.484923918347555
7	0.8169363391707505	23.284727429845677
8	0.8204581924692864	21.367921665602026
9	0.8193492304473566	24.829632132683084
10	0.8237955741300692	20.058016828021245
11	0.8204020353877289	22.282085322962004
12	0.8191554408589934	22.362877150666478
